Commit,Feature Name, (Classif:Pattern) matched pattern, (VM:op) New, (VM:op) Removed, (VM:type) Bool-tri,(VM:type) Value, (VM:vis.) Visible ,(VM:vis.) Internal , (VM:opt.) Optional,(VM:opt.) Mandatory, (M:target) Folder,(M:target) C.U.,(M:target) CFF, (M:target_update) New with new asset, (M:target_update) New with existing asset,(M:target_update) Remove with asset,(M:target_update) Remove but preserved asset,(I:ccp_op) New condition wrapping new code,(I:ccp_op) New condition wrapping edited code,(I:ccp_op) New condition wrapping existing code,(I:ccp_op) Deleted condition with its code,(I:ccp_op) Deleted condition with code edit, (I:ccp_op) Deleted condition but preserve code,(I:ref_op) Add reference,(I:ref_op) Removed reference,
3e0a07f8c401bb43e0f964c5f1285b2cb2028645,PJ4B_ERRATA_4742,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,

bb69ee27b96110c509d5b92c9ee541d81a821706,MEDIA_ATTACH,-,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

ab69bde6b2e9c37456eeb0051a185446336aef9f,ALX,AVOGMF,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,

691557941af4c12bd307ad81a4d9fa9c7743ac28,ARM_ERRATA_643719,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,

5efac94999ff218e0101f67a059e44abb4b0b523,ATH9K_LEGACY_RATE_CONTROL,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,
5efac94999ff218e0101f67a059e44abb4b0b523,ATH9K_RATE_CONTROL,MVOFNO,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,

26549c8d36a64d9130e4c0f32412be7ba6180923,FB_SIMPLE,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,

a11650e11093ed57dca78bf16e7836517c599098,RAPIDIO_ENUM_BASIC,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,

b4f711ee03d28f776fd2324fd0bd999cc428e4d2,ALWAYS_USE_PERSISTENT_CLOCK,-,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

d6ffe1b8ecc59ae23524e408063dc7725f485f96,NODES_SHIFT,internal value feature change,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

e7d5bab5efb94a82d80cab3ad68c357ce73ea596,GENERIC_GPIO,internal mandatory impl. feature change,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

60371952e1dd0d507039b2654c22083b32c38398,IRAM_ALLOC,RIMF,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,

4102b53392d6397d80b6e09b516517efacf7ea77,ARC_CACHE_VIPT_ALIASING,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,

0ab2b7d08ea7226dc72ff0f8c05f470566facf7c,CEVT_GIC,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,

bce860833ab1e40113eb0efab34d0c8f3b0226b1,CPU_MICROMIPS,AVOCFF,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,

8f371c7521545ee120364466514a4a2fc156c64f,LOCKDEP_SUPPORT,internal mandatory impl. feature change,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8f371c7521545ee120364466514a4a2fc156c64f,FRAME_POINTER,-,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

c92931b200156e304350e3e9f138e6abfb1f2913,TRACE_IRQFLAGS_SUPPORT,internal mandatory impl. feature change,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


5e44fd012bf3366e3a4c73a06f63756f92d39f06,KCORE_ELF,internal mandatory impl. feature change,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

e85e335f8ff615f74e29e09cc2599f095600114b,INITIALIZE_XTENSA_MMU_INSIDE_VMLINUX,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,

8b10acd74cdad9063c7a63468e31759d9ac877d9,PVPANIC,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,

2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM_GUEST,AVOCFF,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM_HOST_FREQ,AVMVF,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,VIRTUALIZATION,AVOAF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM,AVOGMF,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM_MIPS_DYN_TRANS,AVOAF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM_MIPS_DEBUG_COP0_COUNTERS,AVOAF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

742ae1e35b038ed65ddd86182723441ea74db765,XFS_WARN,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,

9d50094dfec829a1361e595d5d09dfa0f2fe5057,DTB_MT7620A_EVAL,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,

6fbfe90e58b03c4126e3f21d9d9cc53c116003b2,DTB_RT3883_EVAL,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,

d99e19c799a6b48a5c6d733f5885862df5c77c70,DTB_RT2880_EVAL,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,

594bde683d36c3e950da3633ef4bd95328fcd5cc,SOC_MT7620,AVOMF,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,

