Commit,Feature Name, (Classif:Pattern) matched pattern, (VM:op) New, (VM:op) Removed, (VM:type) Bool-tri,(VM:type) Value, (VM:vis.) Visible ,(VM:vis.) Internal , (VM:opt.) Optional,(VM:opt.) Mandatory, (M:target) Folder,(M:target) C.U.,(M:target) CFF, (M:target_update) New with new asset, (M:target_update) New with existing asset,(M:target_update) Remove with asset,(M:target_update) Remove but preserved asset,(I:ccp_op) New condition wrapping new code,(I:ccp_op) New condition wrapping edited code,(I:ccp_op) New condition wrapping existing code,(I:ccp_op) Deleted condition with its code,(I:ccp_op) Deleted condition with code edit, (I:ccp_op) Deleted condition but preserve code,(I:ref_op) Add reference,(I:ref_op) Removed reference,
3e0a07f8c401bb43e0f964c5f1285b2cb2028645,PJ4B_ERRATA_4742,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
bb69ee27b96110c509d5b92c9ee541d81a821706,MEDIA_ATTACH,-,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ab69bde6b2e9c37456eeb0051a185446336aef9f,ALX,AVOGMF,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
691557941af4c12bd307ad81a4d9fa9c7743ac28,ARM_ERRATA_643719,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
5efac94999ff218e0101f67a059e44abb4b0b523,ATH9K_LEGACY_RATE_CONTROL,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,
5efac94999ff218e0101f67a059e44abb4b0b523,ATH9K_RATE_CONTROL,MVOFNO,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,
26549c8d36a64d9130e4c0f32412be7ba6180923,FB_SIMPLE,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
a11650e11093ed57dca78bf16e7836517c599098,RAPIDIO_ENUM_BASIC,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
b4f711ee03d28f776fd2324fd0bd999cc428e4d2,ALWAYS_USE_PERSISTENT_CLOCK,-,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
d6ffe1b8ecc59ae23524e408063dc7725f485f96,NODES_SHIFT,internal value feature change,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
e7d5bab5efb94a82d80cab3ad68c357ce73ea596,GENERIC_GPIO,-,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60371952e1dd0d507039b2654c22083b32c38398,IRAM_ALLOC,RIMF,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,
4102b53392d6397d80b6e09b516517efacf7ea77,ARC_CACHE_VIPT_ALIASING,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,
0ab2b7d08ea7226dc72ff0f8c05f470566facf7c,CEVT_GIC,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,
bce860833ab1e40113eb0efab34d0c8f3b0226b1,CPU_MICROMIPS,AVOCFF,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
8f371c7521545ee120364466514a4a2fc156c64f,LOCKDEP_SUPPORT,internal mandatory impl. feature change,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8f371c7521545ee120364466514a4a2fc156c64f,FRAME_POINTER,-,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
c92931b200156e304350e3e9f138e6abfb1f2913,TRACE_IRQFLAGS_SUPPORT,internal mandatory impl. feature change,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5e44fd012bf3366e3a4c73a06f63756f92d39f06,KCORE_ELF,-,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
e85e335f8ff615f74e29e09cc2599f095600114b,INITIALIZE_XTENSA_MMU_INSIDE_VMLINUX,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
8b10acd74cdad9063c7a63468e31759d9ac877d9,PVPANIC,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM_GUEST,AVOCFF,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM_HOST_FREQ,AVMVF,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,VIRTUALIZATION,AVOAF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM,AVOGMF,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM_MIPS_DYN_TRANS,AVOAF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2235a54deaba06cd814f0f5815c98ad4dd5a6c4f,KVM_MIPS_DEBUG_COP0_COUNTERS,AVOAF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
742ae1e35b038ed65ddd86182723441ea74db765,XFS_WARN,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
9d50094dfec829a1361e595d5d09dfa0f2fe5057,DTB_MT7620A_EVAL,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
6fbfe90e58b03c4126e3f21d9d9cc53c116003b2,DTB_RT3883_EVAL,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
d99e19c799a6b48a5c6d733f5885862df5c77c70,DTB_RT2880_EVAL,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
594bde683d36c3e950da3633ef4bd95328fcd5cc,SOC_MT7620,AVOMF,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
293840b9997f2c0509ca65a4e02cacc371cc628c,SOC_RT3883,AVOMF,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
80fb55a951df5974e12c935d9e7dd9103539fb8e,SOC_RT288X,AVOMF,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
59b435d1ad48ac244058845e18586eb5719f7f99,MIPS_DISABLE_OBSOLETE_IDE,-,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
be0c9bd4987d59d9425af53fa004d304197dc7f9,MIPS_BOARDS_GEN,-,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
035114fbdbf8c88fbf80a160716be9d0078f01ee,DT_XLP_SVP,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,
2c8aaf71b0a4738ae8cb70d9367089bdb892aea3,BCM63XX_CPU_6362,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
30650239adc9e4e9439256d6988e521518dccbb3,PPC_EARLY_DEBUG_MEMCONS,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,
30650239adc9e4e9439256d6988e521518dccbb3,PPC_MEMCONS_OUTPUT_SIZE,AVMVF,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
30650239adc9e4e9439256d6988e521518dccbb3,PPC_MEMCONS_INPUT_SIZE,AVMVF,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
200c880420a2c02a0899120ce52d801fad705b90,IRQSTACKS,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
9372450cc22d185f708e5cc3557cf991be4b7dc5,DEBUG_STACKOVERFLOW,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
072eb693904a52df95ac3d8e8ee00752ed82342c,ARC_PLAT_TB10X,AVOGMF,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
072eb693904a52df95ac3d8e8ee00752ed82342c,GENERIC_GPIO,-,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6971881f2ae0e0208375dc40e1a9a4ce56f7c9d6,CMDLINE,RVMVF,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
ac718b69301c7c07cd0d858570f76a0e1c4c8726,USB_RTL8152,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
6d49ba1b47b9c6822d08f90af6f1a2d8ca1cf533,BTRFS_DEBUG,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
74255aa07d292385ca3a4a4e8f0bc492d9bdd116,BTRFS_FS_RUN_SANITY_TESTS,AVONMF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
485cf5dac2966b93ef2b6211cf2fd42d66c823e6,GENERIC_IDLE_POLL_SETUP,-,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03b1781aa978aab345b5a85d8596f8615281ba89,SCSI_UFSHCD_PLATFORM,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
181c04a357bb791587c55a99362c2fdde2c64f18,VHOST_SCSI,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
181c04a357bb791587c55a99362c2fdde2c64f18,TCM_VHOST,MVOFNO,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
a6a4834cdbef23a7db16e7598c8c6e427ac82531,SYS_SUPPORTS_MICROMIPS,AIMF,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
41929798bb71a5997e4b8a760ab8e0dd4f592bb6,HEXAGON_VM,internal mandatory impl. feature change,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41929798bb71a5997e4b8a760ab8e0dd4f592bb6,HEXAGON_ANGEL_TRAPS,RVOAF,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65af3a3f89d726701c6436c4e223d9e2e7d525bc,GENERIC_FIND_NEXT_BIT,internal mandatory impl. feature change,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66b03dbfe605c2566cff55bde35372030aa4b3d0,HEXAGON_ARCH_VERSION,AVMVF,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
66b03dbfe605c2566cff55bde35372030aa4b3d0,HEXAGON_ARCH_V1,-,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
66b03dbfe605c2566cff55bde35372030aa4b3d0,HEXAGON_ARCH_V2,-,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
66b03dbfe605c2566cff55bde35372030aa4b3d0,HEXAGON_ARCH_V3,-,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
66b03dbfe605c2566cff55bde35372030aa4b3d0,HEXAGON_ARCH_V4,-,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,
8f5a0b9dffeb3cb94f2b0622b6fe0717512ef54b,HEXAGON_PHYS_OFFSET,internal mandatory impl. feature change,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
446f24d1199e8a546ba7c97da3fbb9a505a94795,DEBUG_COPY_FROM_USER,RCINMF,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
446f24d1199e8a546ba7c97da3fbb9a505a94795,ARCH_HAS_DEBUG_STRICT_USER_COPY_CHECKS,AIMF,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
2535e0d723e4d7723b030f39fb350e436bdb983f,BINFMT_SCRIPT,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
16c7fa05829e8b91db48e3539c5d6ff3c2b18a23,TEST_STRING_HELPERS,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
18a1053f7b85acdda2428c9f694101070cb8e62a,SUDMAC,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
189b4ee8e9daf349db80f47b81edec67d223a953,SH_DMAE_BASE,AVOGMF,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,
4cfbfa9714789d4bed3ea93859e36c2e04ac4b30,LCD_ILI922X,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
4984c6f5e56c3e68922fd979347ba7aff385783b,SRAM,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
68a2d20b79b105f02dcbc52c211d7e62f98996b7,FB_HYPERV,AVOMF,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
74169f98c785e7f6b5e6f5a0c2707020b4fc7368,M5373EVB,AVOAF,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
e9d9dc6ac2d7a87c84ae72ff391d3040e2ca5df2,M537x,AVOCFF,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
6eac402783441543ffc582f5e6c942d488d848b0,M53xx,-,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,
5143661ff82792673787cd03b2b1bf9d63f60093,ROMVECSIZE,RVMVF,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2a5bab1004729f3302c776e53ee7c895b98bb1ce,KVM_DEVICE_ASSIGNMENT,FCUTVOF,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,
4923ee444a39c8b75027ed01a7812e940194dbec,ARCH_EXYNOS_SINGLE,MVOFNO,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
4923ee444a39c8b75027ed01a7812e940194dbec,ARCH_EXYNOS4_SINGLE,RIMF,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
