commit,feature name, reference pattern, found pattern
38f993ad8b1fe4caf9e989caf6e2a25aff3bbaf7,USB_S2255,AVOMF,AVOMF,
bbcd6d543de335bf81e96477f46a60a8bf51039c,GPIO_MAX732X,AVOMF,AVOMF,
9aaca9683b014c4d718f32cbddb42e5b36ea3c0f,SND_AT32_SOC_PLAYPAQ,AVOMF,AVOMF,
9aaca9683b014c4d718f32cbddb42e5b36ea3c0f,SND_AT32_SOC,AVOMF,AVOMF,
1b2b03f8e514e4f68e293846ba511a948b80243c,MISDN,AVOMF,AVOMF,
a5edeccb1a8432ae5d9fb9bccea5a4b64c565017,MDIO_OF_GPIO,AVOMF,AVOMF,
3cadd2d98972f806165c634553ac4918b2b7920c,TOUCHSCREEN_INEXIO,AVOMF,AVOMF,
862c2c0a61c515f2e9f63f689215bcf99a607eaf,SND_SGI_O2,AVOMF,AVOMF,
17f9ecf34aaa0ade5c89aba603847309c849297c,SND_OMAP_SOC_OSK5912,AVOMF,AVOMF,
c0b4e3ab0c769913438aeb078535ff117eeba5fb,SENSORS_ADT7462,AVOMF,AVOMF,
b53cde3557b8f97e6a635782875d442551a89bf1,FB_TMIO,AVOMF,AVOMF,
b18250a8f66050bd2a52287cd543fb93100e8ee0,LCD_CORGI,AVOMF,AVOMF,
a611d0ca006fe76d88b8dd5ac44f4468293b6760,DVB_DM1105,AVOMF,AVOMF,
030a07e441296c372f946cd4065b5d831d8dc40c,SND_USB_US122L,AVOMF,AVOMF,
cfbc619033d3a2eee8f7aa9314e21b96cf34d399,W1_SLAVE_BQ27000,AVOMF,AVOMF,
da09155ac8d3f04c299b3d82a6ab0df8d03da632,REGULATOR_WM8350,AVOMF,AVOMF,
5f119f29063c9a9bf1ab40112c02710c2db84f29,RTC_DRV_DS1286,AVOMF,AVOMF,
f41507245ef8b079685aba8da5b5b2b5e87e70bc,SFC_MTD,AVOMF,AVOMF,
ec9a943ce9f6d6a8ea09587b49d29a020c418c76,LEDS_ALIX2,AVOMF,AVOMF,
d5e54913433fff89609adfc4b96fefcf807a9030,HVC_UDBG,AVOMF,AVOMF,
3fedd14818592016f7ffd84dfe134881b3896ecf,ME1400,AVOMF,AVOMF,
3fedd14818592016f7ffd84dfe134881b3896ecf,ME1600,AVOMF,AVOMF,
3fedd14818592016f7ffd84dfe134881b3896ecf,ME6000,AVOMF,AVOMF,
