CPU_32v7 :: 
MACH_MX51_EFIKASB :: arch/arm/mach-mx5/board-mx51_efikasb.c=
CPU_32v6 :: 
ARCH_U8500 :: 
A3000_SCSI :: 
CPU_32v5 :: 
ENIC :: drivers/net/ethernet/cisco/enic/enic_main.c=drivers/net/ethernet/cisco/enic/vnic_cq.c=drivers/net/ethernet/cisco/enic/vnic_cq.h=drivers/net/ethernet/cisco/enic/vnic_intr.c=drivers/net/ethernet/cisco/enic/vnic_intr.h=drivers/net/ethernet/cisco/enic/vnic_wq.c=drivers/net/ethernet/cisco/enic/vnic_wq.h=drivers/net/ethernet/cisco/enic/enic_res.c=drivers/net/ethernet/cisco/enic/enic_res.h=drivers/net/ethernet/cisco/enic/enic_dev.c=drivers/net/ethernet/cisco/enic/enic_dev.h=drivers/net/ethernet/cisco/enic/enic_pp.c=drivers/net/ethernet/cisco/enic/enic_pp.h=drivers/net/ethernet/cisco/enic/vnic_dev.c=drivers/net/ethernet/cisco/enic/vnic_dev.h=drivers/net/ethernet/cisco/enic/vnic_rq.c=drivers/net/ethernet/cisco/enic/vnic_rq.h=drivers/net/ethernet/cisco/enic/vnic_vic.c=drivers/net/ethernet/cisco/enic/vnic_vic.h=enic/=
CPU_32v4 :: 
VIDEO_TEA6415C :: drivers/media/video/tea6415c.c=drivers/media/video/tea6415c.h=
SMSGIUCV :: drivers/s390/net/smsgiucv.c=drivers/s390/net/smsgiucv.h=
CPU_32v3 :: arch/arm/lib/io-readsw-armv3.S=arch/arm/lib/io-writesw-armv3.S=arch/arm/lib/io-readsw-armv4.S=arch/arm/lib/io-writesw-armv4.S=
NE3210 :: drivers/net/ethernet/8390/ne3210.c=drivers/net/ethernet/8390/8390.c=drivers/net/ethernet/8390/8390.h=
FB_ARMCLCD :: drivers/video/amba-clcd.c=
JZ4740_QI_LB60 :: arch/mips/jz4740/board-qi_lb60.c=
MEGARAID_MM :: drivers/scsi/megaraid/megaraid_mm.c=drivers/scsi/megaraid/megaraid_mm.h=
NETFILTER_XT_MATCH_LIMIT :: net/netfilter/xt_limit.c=
ALPHA_RUFFIAN :: arch/alpha/kernel/sys_ruffian.c=arch/alpha/kernel/irq_pyxis.c=arch/alpha/kernel/irq_i8259.c=
ATH79_MACH_PB44 :: arch/mips/ath79/mach-pb44.c=
NET_VENDOR_APPLE :: apple/=
VIDEO_TVP7002 :: drivers/media/video/tvp7002.c=
SND_OMAP_SOC_OSK5912 :: sound/soc/omap/osk5912.c=
KEYBOARD_STOWAWAY :: drivers/input/keyboard/stowaway.c=
MN10300_RTC :: arch/mn10300/kernel/rtc.c=
CRYPTO_SERPENT :: crypto/serpent.c=
USB_GSPCA_TV8532 :: drivers/media/video/gspca/tv8532.c=
VIDEO_GO7007_SONY_TUNER :: drivers/staging/media/go7007/wis-sony-tuner.c=
MMC_OMAP :: drivers/mmc/host/omap.c=
INFINIBAND_ISER :: ulp/iser/=drivers/infiniband/ulp/iser/iser_verbs.c=drivers/infiniband/ulp/iser/iser_initiator.c=drivers/infiniband/ulp/iser/iser_memory.c=drivers/infiniband/ulp/iser/iscsi_iser.c=drivers/infiniband/ulp/iser/iscsi_iser.h=drivers/scsi/libiscsi.c=
MMC_BLOCK :: drivers/mmc/card/block.c=drivers/mmc/card/queue.c=drivers/mmc/card/queue.h=
IIO_PERIODIC_RTC_TRIGGER :: drivers/staging/iio/trigger/iio-trig-periodic-rtc.c=
STMMAC_TIMER :: drivers/net/ethernet/stmicro/stmmac/stmmac_timer.c=drivers/net/ethernet/stmicro/stmmac/stmmac_timer.h=
LIBFCOE :: drivers/scsi/fcoe/fcoe_ctlr.c=drivers/scsi/fcoe/fcoe_transport.c=fcoe/=
MIPS_PB1200 :: pb1200/=alchemy/devboards/=
S5P_SYSTEM_MMU :: arch/arm/plat-s5p/sysmmu.c=
BFIN537_STAMP :: arch/blackfin/mach-bf537/boards/stamp.c=
JZ4740_WDT :: drivers/watchdog/jz4740_wdt.c=
EEEPC_LAPTOP :: drivers/platform/x86/eeepc-laptop.c=
S3C2410_DMA :: arch/arm/plat-s3c24xx/dma.c=
GAMEPORT_FM801 :: drivers/input/gameport/fm801-gp.c=
SNIPROM :: arch/mips/fw/sni/sniprom.c=arch/mips/fw/sni/=
MTD_CK804XROM :: drivers/mtd/maps/ck804xrom.c=
